prime,current_differential_inst,current_differential_rms,current_simple,current_ratio,energy_differential_inst,energy_differential_avg,energy_simple,energy_ratio_inst,energy_ratio_avg
2,7.708727039858706e-06,7.202530644382098e-06,2.546479130173248e-06,3.027209981231713,1.3852632419459129e-06,1.6211390160401992e-06,3.2422779834462285e-06,0.4272499918324436,0.5000000075000001
3,9.605597611689037e-06,2.4308541410036695e-05,5.729578157263649e-06,1.6764929891935554,1.5132539844595579e-05,8.207016760500771e-06,1.6414032946510387e-05,0.9219269812549479,0.5000000175000001
5,8.658365758110715e-05,0.00011253955074545841,1.5915495896760246e-05,5.440211108893698,8.91678597676489e-05,6.33257587425233e-05,0.00012665150494654763,0.7040410597985517,0.5000000494999999
7,-0.00043261928178825264,0.00030880855675652173,3.119437493870962e-05,13.868502979728186,9.097048878467174e-06,0.0002432723046355611,0.000486544514394942,0.01869725915989434,0.5000000974999999
11,1.5000160282086206e-05,0.001198321593602826,7.703102953443894e-05,0.1947288043888853,0.002966657312696329,0.001483445595771222,0.002966889758534692,0.9999216533618432,0.5000002414999998
13,-0.0021331117373973884,0.0019779962750313225,0.0001075888137874138,19.826519712469672,0.0024221715382877745,0.0028938401692803323,0.005787676431879077,0.41850500227452614,0.5000003374999996
17,-0.0033096413225773397,0.004423259131104422,0.00018398332509113257,17.98881132808081,0.012187166808041836,0.008462475760508015,0.01692493197271962,0.7200718341252815,0.5000005774999994
19,-0.002588234966127654,0.0061752784449110735,0.00022982006653219674,11.262005990956643,0.02408905026931421,0.013204334812247769,0.026408631516840298,0.9121657914743923,0.5000007214999993
23,-0.013970088404982062,0.010954171531151097,0.00033677256399815514,41.48226399184522,0.010591869279404345,0.02835399996240984,0.05670787998765363,0.1867794966362769,0.5000010574999989
29,-0.03083181553202793,0.021957887430023568,0.0005353990035276041,57.58661358890315,0.002036264803720471,0.07166326431899805,0.14332604663250176,0.014207220889456331,0.5000016814999984
31,0.028038027712391857,0.026821424878113353,0.0006117939165290168,45.82920319225182,0.08489199907274429,0.09357330876989463,0.18714589833810266,0.45361399756342075,0.5000019214999981
37,0.06353577594016879,0.04560396746965116,0.0008715371526162449,72.90082327465029,0.011200783337758357,0.18989529195853241,0.37978850457500435,0.029492159985970077,0.5000027374999972
41,-0.027486928418383683,0.06205110950421826,0.0010701648856239455,25.684760159512983,0.5164451388848632,0.2863151457757234,0.5726264417838826,0.901888388660503,0.5000033614999967
43,0.09348372013225408,0.07158196738631557,0.0011771184778962332,79.41742644234914,0.10200208323367643,0.3464045397402137,0.6928039561951764,0.147230803637242,0.5000036974999963
47,0.03242051965201461,0.09347434742196918,0.0014063052112566318,23.053686633959504,0.929369988957187,0.494427955528703,0.9888471745926273,0.9398519941567888,0.5000044174999956
