prime,old_current_raw,old_current_corrected,old_correction_factor,new_current_rms,new_current_inst,current_improvement_ratio,old_energy_raw,old_energy_corrected,old_energy_factor,new_energy_avg,new_energy_inst,energy_improvement_ratio,correction_factor_eliminated
5,1.5915495896760246e-05,0.0002705634302449242,17.0,0.00011253955074545841,8.658365758110715e-05,0.4159451654038514,0.00012665150494654763,9.498862870991072e-05,0.75,6.33257587425233e-05,8.91678597676489e-05,0.6666667326666665,True
7,3.119437493870963e-05,0.0005490209989212895,17.6,0.00030880855675652184,-0.00043261928178825286,0.5624713032165719,0.0004865445143949422,0.0003551774955083078,0.73,0.00024327230463556121,9.097048878466942e-06,0.6849316404109588,True
11,7.703102953443894e-05,0.0014481833552474521,18.8,0.001198321593602826,1.5000160282086206e-05,0.8274653822395769,0.002966889758534692,0.0020471539333889377,0.6900000000000001,0.001483445595771222,0.002966657312696329,0.7246380311594198,True
13,0.00010758881378741377,0.002087222987475827,19.4,0.0019779962750313216,-0.002133111737397381,0.9476688820025894,0.005787676431879075,0.0038777432093589806,0.67,0.0028938401692803315,0.0024221715382877936,0.7462691604477607,True
17,0.0001839833250911326,0.003790056496877332,20.6,0.004423259131104423,-0.00330964132257734,1.1670694446768257,0.016924931972719624,0.010662707142813364,0.63,0.008462475760508016,0.01218716680804184,0.7936517103174593,True
19,0.00022982006653219674,0.004872185410482571,21.2,0.0061752784449110735,-0.002588234966127654,1.2674555511834342,0.026408631516840298,0.016109265225272583,0.6100000000000001,0.013204334812247769,0.02408905026931421,0.819673313934425,True
23,0.00033677256399815514,0.007543705433558675,22.4,0.010954171531151097,-0.013970088404982062,1.4520942827938028,0.05670787998765363,0.03232349159296257,0.5700000000000001,0.02835399996240984,0.010591869279404345,0.8771948377192963,True
29,0.0005353990035276041,0.012956655885368018,24.2,0.02195788743002357,-0.030831815532027962,1.6947187317694117,0.14332604663250176,0.07309628378257589,0.51,0.07166326431899805,0.0020362648037202296,0.9803954539215655,True
31,0.0006117939165290168,0.015172489129919614,24.799999999999997,0.026821424878113353,0.028038027712391857,1.767766952966369,0.18714589833810266,0.09170149018567031,0.49000000000000005,0.09357330876989463,0.08489199907274429,1.0204120846938736,True
37,0.0008715371526162449,0.023182888259592114,26.6,0.04560396746965116,0.06353577594016879,1.9671391657069364,0.37978850457500435,0.1633090569672519,0.43000000000000005,0.18989529195853241,0.011200783337758357,1.162797063953482,True
41,0.0010701648856239455,0.02975058382034568,27.799999999999997,0.06205110950421826,-0.027486928418383683,2.0857106495430537,0.5726264417838826,0.2233243122957142,0.39,0.2863151457757234,0.5164451388848632,1.2820599012820426,True
43,0.0011771184778962332,0.033430164772253024,28.4,0.07158196738631557,0.09348372013225408,2.1412388444381367,0.6928039561951764,0.25633746379221534,0.37000000000000005,0.3464045397402137,0.10200208323367643,1.3513613445945842,True
47,0.0014063052112566318,0.04162663425319631,29.6,0.09347434742196918,0.03242051965201461,2.2455418051194407,0.9888471745926273,0.326319567615567,0.33,0.494427955528703,0.929369988957187,1.515164901515138,True
